id,t,sensor3
18,47,-0.59930773
18,48,-0.50355335
18,49,-0.41976827
19,0,-0.60073672
19,1,-0.60614649
19,2,-0.61155626
19,3,-0.61155626
19,4,-0.61696603
19,5,-0.6223758
19,6,-0.62778557
19,7,-0.62778557
19,8,-0.62778557
19,9,-0.62778557
19,10,-0.62778557
19,11,-0.6223758
19,12,-0.61696603
19,13,-0.61696603
19,14,-0.61696603
19,15,-0.61696603
19,16,-0.6223758
19,17,-0.62778557
19,18,-0.63319534
19,19,-0.63319534
19,20,-0.63319534
19,21,-0.63319534
19,22,-0.62778557
19,23,-0.62778557
19,24,-0.62778557
19,25,-0.63319534
19,26,-0.63319534
19,27,-0.63860511
19,28,-0.64401488
19,29,-0.64942465
19,30,-0.64942465
19,31,-0.64942465
19,32,-0.64942465
19,33,-0.64401488
19,34,-0.63319534
19,35,-0.6223758
19,36,-0.61696603
19,37,-0.61155626
19,38,-0.60614649
19,39,-0.60614649
19,40,-0.60073672
19,41,-0.58991718
19,42,-0.56286833
19,43,-0.4979511
19,44,-0.3897557
19,45,-0.24910169
19,46,-0.13008676
19,47,-0.10303791
19,48,-0.15172584
19,49,-0.24369192
20,0,-0.90701793
20,1,-0.910461
20,2,-0.92021636
20,3,-0.9259548
20,4,-0.9259548
20,5,-0.92480712
20,6,-0.92423327
20,7,-0.92423327
20,8,-0.92480712
20,9,-0.92825018
20,10,-0.93456247
20,11,-0.94489168
20,12,-0.95923779
20,13,-0.9735839
20,14,-0.98219157
20,15,-0.98448695
20,16,-0.98333926
20,17,-0.97645313
20,18,-0.96095932
20,19,-0.9425963
20,20,-0.92480712
20,21,-0.90587024
20,22,-0.88176877
20,23,-0.85135501
20,24,-0.81290742
20,25,-0.76355679
20,26,-0.69584313
20,27,-0.59828955
20,28,-0.47204375
20,29,-0.32284416
20,30,-0.17938301
20,31,-0.0646141
20,32,-0.001491197
20,33,0.01572414
20,34,0.01572414
20,35,-0.035921871
20,36,-0.17938301
20,37,-0.36301328
20,38,-0.51221287
20,39,-0.61550489
20,40,-0.67862779
20,41,-0.71305847
20,42,-0.72453536
20,43,-0.73601225
20,44,-0.7417507
20,45,-0.7417507
20,46,-0.70732002
20,47,-0.64419712
20,48,-0.55238199
20,49,-0.39170551
21,0,-0.084348059
21,1,-0.084348059
21,2,-0.093052063
21,3,-0.10610807
21,4,-0.13222008
21,5,-0.1713881
21,6,-0.21490812
21,7,-0.25407614
21,8,-0.28454015
21,9,-0.30630016
21,10,-0.31500417
21,11,-0.31935617
21,12,-0.31935617
21,13,-0.31935617
21,14,-0.31935617
21,15,-0.31500417
21,16,-0.31500417
21,17,-0.31500417
21,18,-0.31500417
21,19,-0.31935617
21,20,-0.33241217
21,21,-0.34546818
21,22,-0.36287619
21,23,-0.37158019
21,24,-0.37593219
21,25,-0.3802842
21,26,-0.3802842
21,27,-0.37593219
21,28,-0.36287619
21,29,-0.34982018
21,30,-0.33241217
21,31,-0.31935617
21,32,-0.30630016
21,33,-0.29324416
21,34,-0.28454015
21,35,-0.27148415
21,36,-0.25407614
21,37,-0.23231613
21,38,-0.21055612
21,39,-0.18879611
21,40,-0.1626841
21,41,-0.12786808
21,42,-0.084348059
21,43,-0.032124035
21,44,0.020099989
21,45,0.050564003
21,46,0.059268007
21,47,0.059268007
21,48,0.020099989
21,49,-0.084348059
22,0,-0.59016695
22,1,-0.59323427
22,2,-0.60627039
22,3,-0.63195922
22,4,-0.6664666
22,5,-0.6940725
22,6,-0.70480813
22,7,-0.70634179
22,8,-0.70595838
22,9,-0.70480813
22,10,-0.70250764
22,11,-0.69982373
22,12,-0.69560616
22,13,-0.68832127
22,14,-0.67950272
22,15,-0.67298466
22,16,-0.66915051
22,17,-0.66608318
22,18,-0.66186561
22,19,-0.65381389
22,20,-0.64116119
22,21,-0.6239075
22,22,-0.60320307
22,23,-0.57981473
22,24,-0.5564264
22,25,-0.53457172
22,26,-0.51808486
22,27,-0.51003314
22,28,-0.50888289
22,29,-0.51079997
22,30,-0.5215356
22,31,-0.54108978
22,32,-0.55949372
22,33,-0.57291326
22,34,-0.58364889
22,35,-0.59285085
22,36,-0.60166941
22,37,-0.60742064
22,38,-0.60972113
22,39,-0.60972113
22,40,-0.60166941
22,41,-0.57559716
22,42,-0.54070637
22,43,-0.49776385
22,44,-0.44025155
22,45,-0.37123679
22,46,-0.27921711
22,47,-0.17186081
22,48,-0.076006976
22,49,0.0045102454
23,0,-0.82698542
23,1,-0.82134447
23,2,-0.81006256
23,3,-0.79502002
23,4,-0.78260993
23,5,-0.77696898
23,6,-0.77621685
23,7,-0.77659291
23,8,-0.77696898
23,9,-0.77696898
23,10,-0.77584079
23,11,-0.77546472
23,12,-0.77546472
23,13,-0.77734504
23,14,-0.77922536
23,15,-0.77960142
23,16,-0.77809717
23,17,-0.77320834
23,18,-0.76531101
23,19,-0.75967006
23,20,-0.75741367
23,21,-0.75628548
23,22,-0.75440517
23,23,-0.74650783
23,24,-0.72243977
23,25,-0.67505577
23,26,-0.61977444
23,27,-0.58705692
23,28,-0.57991171
23,29,-0.58893723
23,30,-0.63744942
23,31,-0.69461107
23,32,-0.72507221
23,33,-0.73936263
23,34,-0.74537964
23,35,-0.74876421
23,36,-0.7540291
23,37,-0.76042218
23,38,-0.76380675
23,39,-0.75628548
23,40,-0.73635412
23,41,-0.69987596
23,42,-0.6438425
23,43,-0.56900587
23,44,-0.49830593
23,45,-0.46295596
23,46,-0.45167406
23,47,-0.44415279
23,48,-0.43287089
23,49,-0.39902517
24,0,-0.9257979
24,1,-0.90510567
24,2,-0.88743107
24,3,-0.8861378
24,4,-0.89131086
24,5,-0.90338132
24,6,-0.91545178
24,7,-0.92019375
24,8,-0.92019375
24,9,-0.91933158
24,10,-0.91674505
24,11,-0.91243417
24,12,-0.90726111
24,13,-0.90165697
24,14,-0.89174195
24,15,-0.88053366
24,16,-0.8753606
24,17,-0.87449843
24,18,-0.87363625
24,19,-0.8719119
24,20,-0.86673885
24,21,-0.85639273
24,22,-0.8395803
24,23,-0.82104352
24,24,-0.81371503
24,25,-0.81328394
24,26,-0.81371503
24,27,-0.8076798
24,28,-0.76758862
24,29,-0.6822332
24,30,-0.57920318
24,31,-0.51626434
24,32,-0.5033317
24,33,-0.5641151
24,34,-0.65205704
24,35,-0.72232438
24,36,-0.76543318
24,37,-0.78741866
24,38,-0.79733368
24,39,-0.80121348
24,40,-0.79776477
24,41,-0.78052125
24,42,-0.75293162
24,43,-0.72232438
24,44,-0.66326533
24,45,-0.56540836
24,46,-0.46453378
24,47,-0.43435762
24,48,-0.43435762
24,49,-0.44297938
25,0,-0.60981879
25,1,-0.6102034
25,2,-0.61251108
25,3,-0.61520338
25,4,-0.615588
25,5,-0.615588
25,6,-0.61404954
25,7,-0.61135724
25,8,-0.60712649
25,9,-0.6021265
25,10,-0.59712652
25,11,-0.59174192
25,12,-0.5859727
25,13,-0.58097272
25,14,-0.57635735
25,15,-0.57328043
25,16,-0.57097275
25,17,-0.56943429
25,18,-0.56789584
25,19,-0.56558815
25,20,-0.56135739
25,21,-0.55443434
25,22,-0.54558821
25,23,-0.53635747
25,24,-0.52558827
25,25,-0.51404984
