age,position,minutes_in_game,appearances,minutes_played_home,minutes_played_away,minutes_on_bench,appearances_home,appearances_away,penalty_goals,goals_home,goals_away,penalty_misses,yellow_cards_overall,red_cards_overall,penalty_attempts,penalty_goals
34,Goalkeeper,115.0,3,100,10,5.0,2,1,0,0,0,0,0,0,0,0
26,Defender,2184.0,26,978,804,402.0,13,13,0,0,0,0,1,0,0,0
25,Defender,993.0,13,228,510,255.0,4,9,0,0,1,0,2,0,0,0
32,Goalkeeper,3477.0,33,1437,1360,680.0,17,16,0,0,0,0,1,0,0,0
32,Midfielder,2943.5,31,1304,1093,546.5,17,14,0,0,0,0,9,1,0,0
37,Forward,25.0,2,10,10,5.0,1,1,0,0,0,0,0,0,0,0
29,Midfielder,1239.5,18,413,551,275.5,9,9,0,0,1,0,1,0,0,0
24,Defender,1003.5,12,423,387,193.5,6,6,0,0,0,0,1,0,0,0
27,Defender,3560.5,35,1279,1521,760.5,17,18,0,1,0,0,6,0,0,0
33,Defender,2480.5,26,1084,931,465.5,13,13,0,1,0,0,2,0,0,0
29,Forward,1496.0,22,626,580,290.0,9,13,0,0,1,0,3,0,0,0
30,Midfielder,2537.0,34,935,1068,534.0,17,17,0,0,1,0,3,1,0,0
27,Goalkeeper,4300.0,40,1720,1720,860.0,20,20,0,0,0,0,1,0,0,0
25,Midfielder,1050.5,21,344,471,235.5,11,10,0,0,1,0,1,0,0,0
29,Midfielder,3962.0,39,1631,1554,777.0,20,19,1,0,2,0,8,0,1,1
22,Defender,1285.0,18,535,500,250.0,8,10,0,0,0,0,3,0,0,0
36,Defender,3004.0,30,1234,1180,590.0,16,14,0,2,1,0,13,1,0,0
28,Forward,1033.5,17,375,439,219.5,9,8,0,0,0,0,1,0,0,0
31,Forward,750.0,18,318,288,144.0,10,8,0,2,0,0,1,0,0,0
21,Midfielder,121.0,4,10,74,37.0,1,3,0,0,0,0,0,0,0,0
21,Midfielder,25.0,2,10,10,5.0,1,1,0,0,0,0,0,0,0,0
23,Defender,25.0,2,10,10,5.0,1,1,0,0,0,0,0,0,0,0
26,Forward,2201.0,31,1133,712,356.0,18,13,0,2,1,0,2,0,0,0
